Frequency [Hz];Amplitude ratio;Phase shift [deg]
1426;2.0712083423604777;-8.316262398447478
1431;2.084882288429396;-8.402847402388188
1436;2.0987622646966386;-8.490630676915991
1441;2.112852619643321;-8.579638155836442
1446;2.1271578230765913;-8.669896523750873
1451;2.141682470266658;-8.761433242974418
1456;2.156431286248704;-8.854276581601756
1461;2.1714091302971674;-8.948455642777828
1466;2.18662100058011;-9.044000395232233
1471;2.202072039001748;-9.140941705140818
1476;2.2177675362417726;-9.239311369380687
1481;2.2337129370003224;-9.339142150248716
1486;2.2499138454580225;-9.440467811717895
1491;2.2663760309609646;-9.54332315730986
1496;2.28310543394085;-9.647744069666288
1501;2.300108172081197;-9.75376755190689
1506;2.317390546740953;-9.861431770866929
1511;2.3349590496473493;-9.970776102311824
1516;2.3528203698705874;-10.081841178233326
1521;2.3709814010932733;-10.194668936336498
1526;2.3894492491884924;-10.309302671834505
1531;2.408231240120783;-10.425787091674241
1536;2.427334928185083;-10.544168371323503
1541;2.4467681045995042;-10.66449421425846
1546;2.4665388064683618;-10.786813914298037
1551;2.486655326132868;-10.91117842094121
1556;2.5071262209275433;-11.037640407872471
1561;2.5279603233613317;-11.166254344810692
1566;2.549166751743249;-11.297076572887855
1571;2.5707549212733465;-11.430165383755279
1576;2.592734555620562;-11.565581102626895
1581;2.615115699010166;-11.703386175483319
1586;2.6379087288443293;-11.84364526067306
1591;2.6611243688804955;-11.98642532516313
1596;2.6847737029931262;-12.131795745706832
1601;2.708868189545492;-12.27982841521326
1606;2.733419676399269;-12.430597854621784
1611;2.7584404165905863;-12.584181330603176
1616;2.7839430847024493;-12.740658979430641
1621;2.8099407939643037;-12.900113937385788
1626;2.8364471141105114;-13.06263247808695
1631;2.8634760900305936;-13.228304157154481
1636;2.8910422612448756;-13.397221964652454
1641;2.919160682239995;-13.569482485775742
1646;2.947846943699458;-13.74518607028144
1651;2.9771171946651873;-13.924437011197368
1656;3.0069881656658546;-14.10734373337167
1661;3.0374771928489226;-14.294018992469754
1666;3.0686022431522444;-14.48458008505797
1671;3.1003819405516158;-14.67914907046056
1676;3.1328355934193417;-14.877853005117235
1681;3.1659832230280474;-15.08082419021772
1686;3.199845593232158;-15.288200433439135
1691;3.234444241357349;-15.500125325666318
1696;3.269801510324709;-15.716748533628508
1701;3.3059405820333034;-15.938226109450138
1706;3.3428855120188685;-16.16472081817148
1711;3.380661265400932;-16.396402484364202
1716;3.419293754122712;-16.633448359035555
1721;3.4588098754788774;-16.87604350808749
1726;3.4992375519150127;-17.12438122367388
1731;3.5406057720691084;-17.378663459877334
1736;3.58294463300914;-17.63910129421078
1741;3.626285383601267;-17.905915416531656
1746;3.6706604689205626;-18.1793366470452
1751;3.7161035755883813;-18.45960648515954
1756;3.7626496778888203;-18.74697769104556
1761;3.810335084478275;-19.041714901840074
1766;3.8591974854581426;-19.344095284519703
1771;3.90927599952771;-19.654409227551287
1776;3.960611220873578;-19.972961073503583
1781;4.01324526538027;-20.300069894870315
1786;4.067221815662881;-20.636070315410088
1791;4.12258616432548;-20.981313379346425
1796;4.179385254735513;-21.336167470789203
1801;4.237667718472703;-21.70101928572654
1806;4.297483908457873;-22.07627485889029
1811;4.358885926589896;-22.462360647708845
1816;4.421927644513422;-22.859724675412423
1821;4.486664715902631;-23.268837735142796
1826;4.553154578372541;-23.690194656623035
1831;4.621456442812376;-24.124315636531907
1836;4.691631267573264;-24.571747633211032
1841;4.7637417145237;-25.03306582564148
1846;4.8378520835084435;-25.508875135767465
1851;4.914028221198752;-25.99981181215493
1856;4.992337399698339;-26.506545071621066
1861;5.072848159559908;-27.029778793800908
1866;5.155630111063086;-27.570253261563096
1871;5.240753686700046;-28.12874693770365
1876;5.328289836794814;-28.706078265301926
1881;5.418309659049747;-29.303107475498336
1886;5.510883951550725;-29.920738382058616
1891;5.60608267738082;-30.559920136888753
1896;5.70397432748281;-31.221648914446526
1901;5.804625166794041;-31.90696948569217
1906;5.908098346961071;-32.616976633600906
1911;6.014452867168659;-33.352816352221026
1916;6.123742362829367;-34.11568675959342
1921;6.236013700153385;-34.906838641412925
1926;6.35130535305322;-35.72757552696393
1931;6.469645537571437;-36.57925318148228
1936;6.591050078239752;-37.4632783796593
1941;6.715519980722136;-38.381106803548214
1946;6.843038686072322;-39.33423988484255
1951;6.973568984332737;-40.32422038676808
1956;7.107049569487336;-41.352626495284326
1961;7.243391224520409;-42.42106416393219
1966;7.382472635177961;-43.53115743290072
1971;7.524135844713068;-44.684536422716356
1976;7.668181380197867;-45.88282268897006
1981;7.814363104685946;-47.12761162013101
1986;7.962382879294558;-48.42045156990435
1991;8.111885155636221;-49.76281944391522
1996;8.262451662051493;-51.156092513476885
2001;8.413596396294542;-52.60151631332935
2006;8.564761191315633;-54.100168601914724
2011;8.715312177053642;-55.65291952806905
2016;8.864537515700624;-57.26038836130878
2021;9.011646835072277;-58.92289740584858
2026;9.15577281709349;-60.64042402827493
2031;9.295975406991017;-62.41255207639275
2036;9.431249083576724;-64.23842433529396
2041;9.560533562039248;-66.1166980301847
2046;9.682728179583043;-68.04550570843033
2051;9.796710036401164;-70.02242407205439
2056;9.901355731153956;-72.04445343773655
2061;9.995566250824613;-74.10801042595342
2066;10.078294268569433;-76.20893618403586
2071;10.148572798565331;-78.34252190637145
2076;10.205543890024504;-80.50355263126819
2081;10.248485852950227;-82.68636930308584
2086;10.2768374324129;-84.88494795957038
2091;10.290217412638578;-87.09299373784707
2096;10.288438346869816;-89.30404630775769
2101;10.271513462682261;-91.51159246096354
2106;10.239656252713779;-93.70918101467363
2111;10.193272777622303;-95.89053500171086
2116;10.132947221981748;-98.04965633793319
2121;10.059421695685257;-100.180918755518
2126;9.97357161465663;-102.27914569157356
2131;9.876378194688067;-104.33967091734033
2136;9.768899642020209;-106.35838086099119
2141;9.652242535545971;-108.33173869799836
2146;9.52753469607922;-110.25679125950191
2151;9.395900565188956;-112.1311605743049
2156;9.258439809113193;-113.95302238180446
2161;9.116209557866043;-115.72107423124027
2166;8.970210413618954;-117.43449584188693
2171;8.821376133885911;-119.09290428057577
2176;8.670566722586805;-120.69630626568707
2181;8.518564546331028;-122.24504957905913
2186;8.366073029098834;-123.73977520221047
2191;8.21371745727281;-125.181371425561
2196;8.062047438612588;-126.57093083427942
2201;7.911540593298962;-127.90971076807999
2206;7.762607103702014;-129.19909759329516
2211;7.615594804788246;-130.4405749161526
2216;7.470794553554017;-131.6356957045913
2221;7.328445669726786;-132.78605816747023
2226;7.18874128879976;-133.8932851586449
2231;7.0518335109895265;-134.95900682260748
2236;6.917838265511725;-135.98484617176427
2241;6.786839838797193;-136.9724072773107
2246;6.658895038447127;-137.923265760934
2251;6.534036982553738;-138.83896128916217
2256;6.412278517281423;-139.72099179273928
2261;6.293615275098629;-140.57080915734386
2266;6.178028392496316;-141.38981615740357
2271;6.065486910078069;-142.1793644302593
2276;5.955949880113896;-142.9407533125703
2281;5.849368207478625;-143.67522938400597
2286;5.745686249727463;-144.38398658456586
2291;5.644843201193189;-145.06816679115101
2296;5.546774284662726;-145.7288607562099
2301;5.451411772578661;-146.3671093264882
2306;5.358685857953627;-146.98390487319168
2311;5.268525393379361;-147.58019287640158
2316;5.180858514722891;-148.15687361651356
2321;5.095613164385577;-148.7148039339599
2326;5.012717527377806;-149.25479902570697
2331;4.932100391957838;-149.77763425313464
2336;4.853691445202429;-150.28404694104924
2341;4.777421512623291;-150.77473815189703
2346;4.703222749813525;-151.25037442283542
2351;4.631028793097492;-151.71158945630063
2356;4.560774875257502;-152.1589857571674
2361;4.492397911614033;-152.5931362116116
2366;4.425836561032893;-153.01458560443206
2371;4.361031265814799;-153.42385207291446
2376;4.297924273881198;-153.82142849639033
2381;4.236459646196505;-154.20778382149373
2386;4.17658325195423;-154.583364323784
2391;4.118242753695074;-154.94859480692085
2396;4.061387584212868;-155.3038797409743
2401;4.005968916833917;-155.6496043417378
2406;3.9519396304205263;-155.98613559312867
2411;3.899254270247545;-156.31382321489514
2416;3.8478690057256886;-156.63300057793901
2421;3.7977415857941264;-156.94398556960766
2426;3.7488312926764884;-157.24708141131168
2431;3.7010988945811745;-157.5425774308129
